home_name,away_name,home_score,away_score,home_style,away_style,home_ai_level,away_ai_level,home_possession_pct,away_possession_pct,home_passes_attempted,home_passes_completed,away_passes_attempted,away_passes_completed,home_shots,away_shots,home_tackles,away_tackles,home_interceptions,away_interceptions,home_fouls,away_fouls,home_adaptations,away_adaptations,home_avg_stamina,away_avg_stamina,home_distance_km,away_distance_km,decision_count,avg_decision_utility,decision_latency_ms,duration_minutes
Team A,Team B,2,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,19.867109634551493,80.1328903654485,40,14,42,22,8,7,34,28,8,10,0,0,2,2,77.63819990603012,85.96591801889129,4.21548447860815,3.5149133428338537,400,34.89289364199459,2.102607210508778,90.00750000000704
Team A,Team B,1,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,4.292084726867335,95.70791527313267,16,5,15,11,8,4,17,11,3,7,0,0,0,0,89.37827078185549,89.63770635383794,3.387243184730692,3.2694887350002997,400,31.32784535160077,1.9344185151258217,90.00750000000704
Team A,Team B,2,2,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,16.317016317016318,83.68298368298369,25,8,27,13,8,8,27,25,4,9,0,0,0,0,85.57818961166919,93.1578901661661,3.9849519640329016,3.2062926849226745,400,28.913848074534293,1.9537953864961601,90.00750000000704
Team A,Team B,2,4,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,39.33021806853583,60.66978193146417,29,11,32,12,12,10,29,36,5,7,0,0,2,2,73.67618707013317,69.8685822010834,4.608334641362133,4.3646235365866195,400,27.132272199135397,2.2535017415221863,90.00750000000704
Team A,Team B,1,0,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,59.75708502024292,40.24291497975708,48,23,37,18,5,4,45,38,7,9,0,0,2,2,61.609765276289906,76.06731210253287,4.400747367188148,3.903906177290151,400,13.973797293431913,2.1420040635521254,90.00750000000704
Team A,Team B,1,2,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,40.68396226415094,59.31603773584906,37,18,28,12,5,14,30,30,7,6,0,0,2,2,65.86893806479502,61.8264251493864,4.521567774546303,4.607983311728602,400,17.461760946948505,2.055631927893919,90.00750000000704
Team A,Team B,1,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,40.0462962962963,59.9537037037037,58,27,37,11,9,4,39,35,13,11,0,0,0,0,58.901346453383525,76.65834337252073,4.959225040960019,3.7198995574137337,400,11.528679596990484,2.0876450656927874,90.00750000000704
Team A,Team B,1,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,50.955414012738856,49.044585987261144,44,16,31,11,7,5,40,43,7,12,0,0,0,0,68.03882868435855,71.4457927618792,4.402106740456469,4.21313429169604,400,13.125450831619277,2.0452065994541067,90.00750000000704
Team A,Team B,3,2,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,24.980299448384553,75.01970055161544,45,23,39,19,10,5,55,24,7,11,0,0,1,1,44.89491789000718,55.50204997432472,5.500192119701005,4.703612464837455,400,15.617716695328363,2.4167602810865847,90.00750000000704
Team A,Team B,2,0,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,50.628366247755835,49.371633752244165,22,8,20,9,5,2,27,26,4,4,0,0,3,3,66.9317347160604,64.95162454644579,4.506923609234712,4.405845854629252,400,13.022906120083801,1.9297305530079707,90.00750000000704
